Taxon,ORDER,GROUP,BrainVolume,OrbitDiameter,GeoMeanLinearVars,Convergence,Frontition,Verticality,OrbitotemporalAngle,PostorbitalGap,Activity.Pattern,Noccode,Catcode,Dicode,ActCode,Diet,Fauncode,Omnicode,Varicode,NonFcode,Dietcode,Substrate,Arbcode,Tercode,Aercode,SubCode
Tragulus_napu,Artiodactyla,Ruminantia,27.8,23.4,22.6,29,49.3,73.6,136.3,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Trichosurus_arnhemensis,Diprotodontia,Diprotodontia,22.2,15.8,19.8,55.5,27.4,46.8,157.9,0.2,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Trichosurus_caninus,Diprotodontia,Diprotodontia,29.2,19.3,25.9,55.3,26.3,44.9,157.4,0.2,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Trichosurus_vulpecula,Diprotodontia,Diprotodontia,28.5,18.8,26.1,59.7,30.9,43.6,153.9,0.1,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Tupaia_belangeri,Scandentia,Tupaiinae,15.2,9.7,13.9,36.7,61.7,69.7,131.4,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Tupaia_dorsalis,Scandentia,Tupaiinae,13.3,10.1,11.1,25.4,19.9,62.4,151.9,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,,NA,NA,NA,NA
Tupaia_glis,Scandentia,Tupaiinae,15.1,10.3,13.8,32,40.3,67.1,144.5,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Tupaia_gracilis,Scandentia,Tupaiinae,13.1,9.4,10.7,25.1,39.5,74.3,149.7,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Tupaia_javanica,Scandentia,Tupaiinae,14,8.8,12.1,26.8,48.4,74.6,142.5,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,,NA,NA,NA,NA
Tupaia_minor,Scandentia,Tupaiinae,12.6,7.8,10.5,22.6,52.1,79.7,142.6,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Tupaia_palawanensis,Scandentia,Tupaiinae,14.9,9.9,13.7,28.3,35.2,67,146.4,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Tupaia_tana,Scandentia,Tupaiinae,15.7,10.9,14.1,29.1,31.7,67.5,147.3,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Urocyon_cinereoargenteus,Carnivora,Caniformia,38.4,20.7,34,56.2,54,66.2,131.4,0.5,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Urogale_everetti,Scandentia,Tupaiinae,17.3,10.5,16.4,27.8,32.2,69.6,147.6,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Varecia_variegata,Primates,Strepsirrhini,34.5,21.8,30.6,58.3,66,66.8,117.9,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Viverra_megaspila,Carnivora,Feliformia,40.9,27.2,41.9,48.4,32.7,58.8,154,0.2,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Viverra_tangalunga,Carnivora,Feliformia,32.9,21.7,33.4,52.2,39.9,57.1,145.8,0.2,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Viverra_zibetha,Carnivora,Feliformia,36.2,21.7,36,49.2,34.2,57.5,150.8,0.2,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Viverricula_indica,Carnivora,Feliformia,29.6,17.7,24.5,47.4,39.7,59.1,149.3,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Vulpes_vulpes,Carnivora,Caniformia,40.3,25.4,38,45.2,37.4,58.6,145.2,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
