Taxon,ORDER,GROUP,BrainVolume,OrbitDiameter,GeoMeanLinearVars,Convergence,Frontition,Verticality,OrbitotemporalAngle,PostorbitalGap,Activity.Pattern,Noccode,Catcode,Dicode,ActCode,Diet,Fauncode,Omnicode,Varicode,NonFcode,Dietcode,Substrate,Arbcode,Tercode,Aercode,SubCode
Elephantulus_myurus,Macroscelidea,Macroscelidea,13.4,8,11.3,38.6,6.1,51.6,166.1,0.2,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Eonycteris_major,Chiroptera,Mega (M),13.4,8.6,12,41.2,65.8,70.6,135.7,0.1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Eonycteris_spelaea,Chiroptera,Mega (M),12,9.4,11.6,45,73.2,75.4,129.4,0.2,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Equus_caballus,Perissodactyla,Equidae,97.5,72.4,124,24.4,65.9,80.3,128.6,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Equus_hemionus,Perissodactyla,Equidae,95.1,64.6,110,20.7,61.7,82.3,132.1,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Equus_zebra,Perissodactyla,Equidae,94.6,62.6,114.5,24.9,66.6,81,130.4,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Erinaceus_europaeus,Erinaceomorpha,Erinaceomorpha,18,9.8,17.8,31.8,34.2,66.5,158.5,0.1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Erythrocebus_patas,Primates,Anthropoidea,51.8,22.8,39.2,91.3,91.8,92.9,84.4,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Eulemur_coronatus,Primates,Strepsirrhini,28.9,18.1,25.4,51.7,56.9,60.6,125.9,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Eulemur_fulvus,Primates,Strepsirrhini,30.7,18.7,26.1,56,60.3,58.8,124.4,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Eulemur_macaco,Primates,Strepsirrhini,31.4,19.7,28.6,54.6,61.7,62.9,120.8,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Eulemur_mongoz,Primates,Strepsirrhini,29.8,18.9,25.3,57.8,64.5,66.4,113.8,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Eulemur_rubriventer,Primates,Strepsirrhini,31.8,20.1,28.7,61.1,65,65.1,114.9,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Euoticus_elegantulus,Primates,Strepsirrhini,18.8,18.4,15.7,42.7,61.8,62.9,126.1,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Euphractus_sexcinctus,Cingulota,Cingulota,31.9,16.2,29.7,26.4,2.3,69.8,156.7,0.2,diurnal,0,0,1,3,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Felis_silvestris,Carnivora,Feliformia,33,23.4,29.2,65.4,56.9,62.1,120.9,0.8,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Galago_alleni,Primates,Strepsirrhini,18.9,16,15.7,50.3,60.2,66.2,126.9,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Galago_senegalensis,Primates,Strepsirrhini,18.2,15.8,15,46.3,70.8,69.3,120.3,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Galagoides_demidoff,Primates,Strepsirrhini,14.8,11.2,11.8,47,64.6,69.9,127.4,1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Galidia_elegans,Carnivora,Feliformia,25.5,11.7,21,35.9,40.5,70.7,152.5,0.4,diurnal,0,0,1,3,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Galidictis_fasciata,Carnivora,Feliformia,24.9,12.7,21.8,34.2,49.3,75.2,144.9,0.3,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Genetta_angolensis,Carnivora,Feliformia,28.7,17.3,23.8,54.9,40.8,56.2,143.8,0.3,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Genetta_genetta,Carnivora,Feliformia,27.1,18,22.3,48.1,35,57.7,148.9,0.2,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Genetta_maculata,Carnivora,Feliformia,27.9,17.6,25.4,52.8,40.6,65.7,144.4,0.3,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Genetta_servalina,Carnivora,Feliformia,27.9,16.2,22.9,48.5,39,57.8,150.8,0.2,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Genetta_tigrina,Carnivora,Feliformia,29.3,18.2,22.9,52.7,39.9,56.3,145.6,0.4,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Genetta_victoriae,Carnivora,Feliformia,31,17.7,28.1,52.5,34.2,53.8,149.6,0.2,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Gorilla_gorilla,Primates,Anthropoidea,102.6,47.5,89.9,107.7,74.9,88.8,79.8,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Hapalemur_griseus,Primates,Strepsirrhini,25.1,15.9,20.6,60.2,60.2,54.2,123.3,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Hapalemur_simus,Primates,Strepsirrhini,34.2,20.6,30.7,64.1,64.9,59.7,114.1,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Helogale_hirtula,Carnivora,Feliformia,20.5,9.6,16.4,43.1,52.4,70.9,144.2,0.4,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Hemiechinus_collaris,Erinaceomorpha,Erinaceomorpha,17.1,9.4,16.8,27.5,37,66.8,155.1,0.1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Hemigalus_derbyanus,Carnivora,Feliformia,29.5,16.4,27,42.6,38.4,60.1,150.1,0.1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Herpestes_ichneumon,Carnivora,Feliformia,31.3,17.5,30.4,39.6,58.1,83.9,141.5,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Herpestes_semitorquatus,Carnivora,Feliformia,31.8,16.2,25.6,34.3,54.8,71,146.9,0.7,cathemeral,0,1,0,2,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Heterohyrax_brucei,Hyracoidea,Procaviidae,25,15.3,23.1,45.2,54.5,77.4,134.8,0.8,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Hyaena_hyaena,Carnivora,Feliformia,65.6,38.8,71,51.6,47.2,65.8,138.2,0.6,cathemeral,0,1,0,2,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Hyemoschus_aquaticus,Artiodactyla,Ruminantia,33.3,25.9,28.8,39,30.4,59.9,151.3,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
